"doc_id","doc_name","arm_number","position","description","head"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","Superiority of the Triple Combination of Bortezomib - Thalidomide - Dexamethasone Over the Dual Combination of Thalidomide - Dexamethasone in Patients With Multiple Myeloma Progressing or Relapsing After Autologous Transplantation : The MMVAR / IFM 2005 - 04 Randomized Phase III Trial From the Chronic Leukemia Working Party of the European Group for Blood and Marrow Transplantation Superiority of the Triple Combination of Bortezomib - Thalidomide - Dexamethasone Over the Dual Combination of Thalidomide - Dexamethasone in Patients With Multiple Myeloma Progressing or Relapsing After Autologous Transplantation : The MMVAR / IFM 2005 - 04 Randomized Phase III Trial From the Chronic Leukemia Working Party of the European Group for Blood and Marrow Transplantation MD , Hô pital SaintLaurentGarderet","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","laurent.garderet@sat.aphp.fr . SimonaIacobelli PhilippeMoreau MamounDib IngridLafon DietgerNiederwieser TamasMasszi JeanFontan MauricetteMichallet AloisGratwohl GiuseppeMilone ChantalDoyen BrigittePegourie RomanHajek PhilippeCasassus BrigitteKolb CarineChaleteix BerndHertenstein FrancescoOnida HeinzLudwig NicolasKetterer ChristianKoenecke MarleenVan Os MohamadMohty JeanLuc Harousseau Andrew Cakana Norbert Claude Gorin Theo de Witte Jean Luc Harousseau Curly Morris","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","Superiority of the Triple Combination of Bortezomib - Thalidomide - Dexamethasone Over the Dual Combination of Thalidomide - Dexamethasone in Patients With Multiple Myeloma Progressing or Relapsing After Autologous Transplantation : The MMVAR / IFM 2005 - 04 Randomized Phase III Trial From the Chronic Leukemia Working Party of the European Group for Blood and Marrow Transplantation 10.1200 / JCO.2011.37.4918","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","Submitted June 7 , 2011 ; accepted March 1 , 2012 ; MD , Hô pital SaintLaurentGarderet laurent.garderet@sat.aphp.fr . SimonaIacobelli PhilippeMoreau MamounDib IngridLafon DietgerNiederwieser TamasMasszi JeanFontan MauricetteMichallet AloisGratwohl GiuseppeMilone ChantalDoyen BrigittePegourie RomanHajek PhilippeCasassus BrigitteKolb CarineChaleteix BerndHertenstein FrancescoOnida HeinzLudwig NicolasKetterer ChristianKoenecke MarleenVan Os MohamadMohty JeanLuc Harousseau Andrew Cakana Norbert Claude Gorin Theo de Witte Jean Luc Harousseau Curly Morris","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","Superiority of the Triple Combination of Bortezomib - Thalidomide - Dexamethasone Over the Dual Combination of Thalidomide - Dexamethasone in Patients With Multiple Myeloma Progressing or Relapsing After Autologous Transplantation : The MMVAR / IFM 2005 - 04 Randomized Phase III Trial From the Chronic Leukemia Working Party of the European Group for Blood and Marrow Transplantation 10.1200 / JCO.2011.37.4918","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","Submitted June 7 , 2011 ; accepted March 1 , 2012 ; MD , Hô pital SaintLaurentGarderet laurent.garderet@sat.aphp.fr . SimonaIacobelli PhilippeMoreau MamounDib IngridLafon DietgerNiederwieser TamasMasszi JeanFontan MauricetteMichallet AloisGratwohl GiuseppeMilone ChantalDoyen BrigittePegourie RomanHajek PhilippeCasassus BrigitteKolb CarineChaleteix BerndHertenstein FrancescoOnida HeinzLudwig NicolasKetterer ChristianKoenecke MarleenVan Os MohamadMohty JeanLuc Harousseau Andrew Cakana Norbert Claude Gorin Theo de Witte Jean Luc Harousseau Curly Morris","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","Superiority of the Triple Combination of Bortezomib - Thalidomide - Dexamethasone Over the Dual Combination of Thalidomide - Dexamethasone in Patients With Multiple Myeloma Progressing or Relapsing After Autologous Transplantation : The MMVAR / IFM 2005 - 04 Randomized Phase III Trial From the Chronic Leukemia Working Party of the European Group for Blood and Marrow Transplantation MD , Hô pital SaintLaurentGarderet","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","laurent.garderet@sat.aphp.fr . MD , Hô pital SaintLaurentGarderet MD , Hô pital Saint Laurent Garderet laurent.garderet@sat.aphp.fr . SimonaIacobelli SimonaIacobelli Simona Iacobelli PhilippeMoreau PhilippeMoreau Philippe Moreau MamounDib MamounDib Mamoun Dib IngridLafon IngridLafon Ingrid Lafon DietgerNiederwieser DietgerNiederwieser Dietger Niederwieser TamasMasszi TamasMasszi Tamas Masszi JeanFontan JeanFontan Jean Fontan MauricetteMichallet MauricetteMichallet Mauricette Michallet AloisGratwohl AloisGratwohl Alois Gratwohl GiuseppeMilone GiuseppeMilone Giuseppe Milone ChantalDoyen ChantalDoyen Chantal Doyen BrigittePegourie BrigittePegourie Brigitte Pegourie RomanHajek RomanHajek Roman Hajek PhilippeCasassus PhilippeCasassus Philippe Casassus BrigitteKolb BrigitteKolb Brigitte Kolb CarineChaleteix CarineChaleteix Carine Chaleteix BerndHertenstein BerndHertenstein Bernd Hertenstein FrancescoOnida FrancescoOnida Francesco Onida HeinzLudwig HeinzLudwig Heinz Ludwig NicolasKetterer NicolasKetterer Nicolas Ketterer ChristianKoenecke ChristianKoenecke Christian Koenecke MarleenVan Os MarleenVan Os Marleen Van Os MohamadMohty MohamadMohty Mohamad Mohty JeanLuc Harousseau JeanLuc Harousseau Jean Luc Harousseau Andrew Cakana Norbert Claude Gorin","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Document Description","Gösta Gahrton Theo de Witte , Curly Morris Gösta Gahrton Superiority of the Triple Combination of Bortezomib - Thalidomide - Dexamethasone Over the Dual Combination of Thalidomide - Dexamethasone in Patients With Multiple Myeloma Progressing or Relapsing After Autologous Transplantation : The MMVAR / IFM 2005 - 04 Randomized Phase III Trial From the Chronic Leukemia Working Party of the European Group for Blood and Marrow Transplantation 10.1200 / JCO.2011.37.4918 Submitted June 7 , 2011 ; accepted March 1 , 2012 ;","DOCUMENT DESCRIPTION"
"2347b3d8-5182-467c-ba35-c78c5bc909b5","05-Garderet-L","1","Paragraph 1","Patients with confirmed MM and measurable disease were eligible if they had progressed or relapsed after at least one ASCT and provided it was their first progression or relapse . Previous allogeneic transplantation was prohibited . A Karnofsky performance status above 50 % , platelets at or higher than 40,000 / L , absolute neutrophil count at or higher than 1,000 / L , and creatinine clearance at or higher than 30 mL / min were required . Exclusion criteria included grade 2 or higher peripheral neuropathy . On retrospective analysis , 31 patients did not meet these criteria , that is , 15 patients had neuropathy above grade 1 , six had impaired hematopoiesis , four had impaired kidney function , five patients were in second relapse , and one had nonsecretory MM . These deviations were evenly distributed in both arms and , since the deviations were considered minor , all patients originally included were analyzed . Women of childbearing age had to use a method of birth control and have a negative serum or urine beta - human chorionic gonadotropin pregnancy test at screening and throughout the study . Men had to use contraception . Review boards at participating institutions and regulatory authorities approved the study , which was conducted according to the Declaration of Helsinki and International Conference on Harmonisation Good Clinical Practice Guidelines . All patients provided written informed consent .","Patients"
